"","year","make","model","price","mileage","ratings"
"1",2009,"Saturn","Aura","3990","94934","5  "
"2",2009,"Toyota","Tacoma","14990","145229","5  "
"3",2004,"Toyota","Tacoma","8850","136656","4.8  "
"4",2005,"Toyota","Tacoma","6450","175805","4.8  "
"5",2005,"Acura","MDX","4850","141313","4.8  "
"6",2003,"Dodge","Ram","3950","134001","4.8  "
"7",2018,"Ford","F","54442",NA,"4.1  "
"8",2019,"Toyota","Corolla","17630","14","4.9  "
"9",2006,"Honda","Accord","3950","149000","5  "
"10",2005,"Toyota","Sequoia","4950","146401","5  "
"11",2011,"Acura","MDX","21500","31000","4.9  "
"12",2012,"Toyota","Tacoma","14999","88365","4.8  "
"13",2010,"Toyota","Corolla","2898","206778","4.8  "
"14",2008,"Honda","CR","8550","87041","4.9  "
"15",2016,"Lexus","RX","39988","39567","4.7  "
"16",2015,"Ford","F","29119","42486","4.9  "
"17",2015,"Audi","Q5","22500","63337","4.7  "
"18",2008,"BMW","328","13991","38560","4.8  "
"19",2010,"Volvo","XC90","10832","82136","4.8  "
"20",2007,"Jeep","Commander","7990","101105","4.2  "
"21",2009,"Aston","Martin","49590","26545","4.8  "
"22",2015,"Honda","Civic","17997","36366","4.9  "
"23",2011,"Chevrolet","Cruze","7400","67732","4.4  "
"24",2015,"Toyota","Highlander","23600","57036","4.4  "
"25",2015,"Maserati","GranTurismo","57998","31985","4.6  "
"26",2003,"BMW","X5","5399","96504","5  "
"27",2017,"Subaru","Forester","26998","30306","4.9  "
"28",2008,"Lexus","GS","9247","155922","4.9  "
"29",2006,"Saab","9","1999","117000","5  "
"30",2015,"Jeep","Grand","29910","47844","4.7  "
"31",2016,"Toyota","Highlander","32500","35247","4.9  "
"32",2012,"Ford","Explorer","12589","99356","4.9  "
"33",2007,"Land","Rover","9995","139842","4.9  "
"34",2016,"Mercedes","Benz","75998","18665","4.7  "
"35",2016,"Jeep","Compass","12990","22971","4.9  "
"36",2016,"Toyota","4Runner","28780","28955","4.9  "
"37",2008,"Lexus","GS","14988","58876","4.9  "
"38",2014,"Audi","Q7","29995","27600","4.8  "
"39",2016,"Jeep","Grand","33895","23853","4.8  "
"40",2016,"Honda","Pilot","28898","25826","4.8  "
"41",2012,"Porsche","911","60998","37040","4.9  "
"42",2015,"BMW","M3","45495","37620","4.8  "
"43",2012,"Ford","F","23990","70834","5  "
"44",2010,"Toyota","Corolla","5990","122422","5  "
"45",2010,"Mazda","Mazda3","5994","91723","4.8  "
"46",2015,"Audi","A8","41625","32521","4.8  "
"47",2017,"Audi","A4","29288","21368","4.8  "
"48",2012,"Kia","Sorento","11998","47966","4.9  "
"49",2017,"Acura","MDX","40500","11488","4.8  "
"50",2008,"Audi","A4","8900","71159","4.9  "
"51",2015,"Lexus","IS","22000","60844","4.8  "
"52",2016,"Land","Rover","78985","30171","4.7  "
"53",2018,"Nissan","Rogue","21924","14241","4.8  "
"54",2009,"Toyota","Tacoma","5795","163483","4.8  "
"55",2015,"GMC","Sierra","38000","27292","4.7  "
"56",2009,"Acura","TL","7886","145049","4.8  "
"57",2015,"BMW","X5","33000","44311","4.6  "
"58",2003,"Toyota","RAV4","5950","58404","3.3  "
"59",2016,"BMW","X5","41000","31938","4.6  "
"60",2017,"INFINITI","QX80","55985","2387","4.7  "
"61",2014,"Ford","F","21500","56792","4.6  "
"62",2014,"Lexus","GX","29590","52748","4.9  "
"63",2018,"Audi","Q5","36249","13448",NA
"64",2006,"Mazda","Mazda6","5900","59923","5  "
"65",2005,"Acura","MDX","8098","121657","4.9  "
"66",2004,"Audi","S4","8500","85509","5  "
"67",2017,"BMW","M2","43763","33136","4.9  "
"68",2007,"Acura","TL","7995","80117","4.8  "
"69",2015,"Honda","CR","18988","47174","4.8  "
"70",2017,"Ford","F","55777","29668","4.8  "
"71",2013,"Jaguar","XF","17990","69111","4.7  "
"72",2015,"Porsche","Boxster","51595","25729","4.9  "
"73",2004,"Ford","Mustang","7995","85617","4.6  "
"74",2010,"Ford","Mustang","19795","48263","4.9  "
"75",2018,"Audi","Q5","37997","14713","4.6  "
"76",2014,"RAM","1500","20977","60699","4.5  "
"77",2013,"Toyota","Tundra","18988","121457","4.5  "
"78",2006,"Chevrolet","Equinox","5995","72000","5  "
"79",2015,"Mazda","Mazda3","13990","25037","4.9  "
"80",2015,"Jeep","Grand","16900","76187","4.7  "
"81",2012,"Nissan","Altima","5493","145820","5  "
"82",2018,"Audi","Q5","35425","12825","4.8  "
"83",2007,"Audi","A4","7680","87079","4.8  "
"84",2005,"Acura","RL","3699","177549","4.4  "
"85",2017,"Ford","Shelby","49000","9526","4.6  "
"86",2011,"Ford","Focus","5995","79665","5  "
"87",2001,"Honda","Civic","1995","182683","5  "
"88",2015,"Mazda","Mazda6","12949","38561","4.8  "
"89",2018,"Ford","F","65900","45","4.7  "
"90",2013,"Chevrolet","Sonic","5495","88041","4.9  "
"91",2015,"INFINITI","Q50","21000","28665","4.9  "
"92",2002,"Volkswagen","Passat","4799","122000","5  "
"93",2014,"RAM","1500","21988","35939","4.9  "
"94",2018,"Nissan","Rogue","19988","16966","4.9  "
"95",2017,"Ford","F","39888","18604","4.8  "
"96",2014,"Jeep","Grand","19988","75095","4.8  "
"97",2015,"GMC","Sierra","28500","48058","5  "
"98",2015,"GMC","Sierra","30489","34855","4.5  "
"99",2016,"Toyota","Tacoma","28324","49999","4.5  "
"100",2009,"Audi","A4","9998","82635","5  "
"101",2010,"Honda","Accord","5999","148378","4.9  "
"102",2000,"Chevrolet","2500","3988","127275","4.8  "
"103",2005,"Saab","9","3995","196000","5  "
"104",2002,"Ford","F","4995","178852",NA
"105",2004,"Honda","Pilot","5995","68065","4.7  "
"106",2007,"Ford","F","4450","204000","5  "
"107",2010,"Toyota","Tacoma","19992","43020","4.5  "
"108",2014,"Mercedes","Benz","19797","37677","4.5  "
"109",2015,"Audi","R8","88989","7570","4.5  "
"110",2012,"Audi","A4","19997","25392","5  "
"111",2007,"Toyota","RAV4","3598","232163","4.8  "
"112",2008,"Nissan","Altima","5498","80536","4.8  "
"113",2008,"Toyota","Tacoma","9870","166371","4.8  "
"114",2016,"Tesla","Model","76800","25547","4.9  "
