"","Ratings","Year","Make","Model","Price","Mileage"
"1","4.8  ",2012,"Mercedes","Benz","22999","74850"
"2","5  ",2009,"Honda","CR","7902","185335"
"3","4.6  ",2018,"Hyundai","Tucson","25225",NA
"4","4.8  ",2016,"Chrysler","200","18835","40000"
"5","4.6  ",2018,"Hyundai","Sonata","24830",NA
"6","4.8  ",2014,"Mazda","Mazda3","9995","88052"
"7","4.8  ",2012,"Mercedes","Benz","20547","56072"
"8","4.8  ",2006,"Toyota","Camry","5495","131970"
"9","4.8  ",2015,"Chevrolet","Silverado","23774","79051"
"10","4.8  ",2002,"Lexus","ES","6888","115223"
"11","4.8  ",2015,"Honda","Pilot","19990","83252"
"12","4.8  ",2009,"Toyota","RAV4","9221","106914"
"13","4.8  ",2016,"Land","Rover","46995","55795"
"14","4.8  ",2017,"Toyota","Camry","14951","41569"
"15","4.8  ",2004,"Toyota","Avalon","5841","82067"
"16","4.8  ",2015,"Toyota","Corolla","13701","44881"
"17","4.8  ",2012,"Toyota","Highlander","12242","146856"
"18","4.8  ",2017,"Nissan","Sentra","15789","20412"
"19","4.4  ",2014,"Chevrolet","Cruze","9997","57542"
"20","4.8  ",2013,"Mercedes","Benz","18660","40738"
"21","4.8  ",2017,"Nissan","Rogue","18553","6526"
"22","4.8  ",2016,"Nissan","Rogue","22031","25614"
"23","4.8  ",2017,"Nissan","Rogue","18564","6255"
"24","4.8  ",2016,"Nissan","Maxima","18587","53472"
"25","4.8  ",2014,"Nissan","Leaf","11760","26269"
"26","4.8  ",2015,"Nissan","Rogue","18173","28955"
"27","4.8  ",2011,"Ford","F","24999","80967"
"28","4.7  ",2011,"Nissan","Murano","16997","88723"
"29","4.4  ",2012,"Mercedes","Benz","16998","66134"
"30","4.7  ",2018,"Honda","Accord","19799","6846"
"31","4.8  ",2016,"Honda","CR","20998","14158"
"32","3.8  ",2014,"Chevrolet","Silverado","21864","53924"
"33","4.8  ",2010,"Honda","Accord","10998","65961"
"34","3.8  ",2015,"GMC","Acadia","23998","28076"
"35","4.4  ",2019,"Volvo","XC90","62975",NA
"36","4.6  ",2012,"INFINITI","G37x","13987","60143"
"37","4.9  ",2016,"Volkswagen","Tiguan","21591","16095"
"38","4.9  ",2018,"Lincoln","Navigator","102020",NA
"39","4.8  ",2017,"Honda","Pilot","28998","8635"
"40","4.9  ",2012,"Hyundai","Elantra","8940","53553"
"41","4.9  ",2015,"Toyota","Camry","16995","11457"
"42","5  ",2018,"Subaru","Impreza","19488","11285"
"43","5  ",2007,"Toyota","Corolla","7984","33114"
"44","4.9  ",2012,"Lexus","CT","12988","93680"
"45","4.9  ",2016,"Volvo","XC90","42677","25314"
"46","4.8  ",2011,"Subaru","Outback","15950","50963"
"47","4.9  ",2018,"Lexus","IS","39988","926"
"48","4.8  ",2016,"BMW","X3","28597","55130"
"49","4.7  ",2004,"Toyota","RAV4","4778","140097"
"50","4.8  ",2009,"Toyota","Highlander","8500","142486"
"51","4.9  ",2017,"Ford","F","56950","4699"
"52","4.1  ",2013,"Toyota","RAV4","19999","25273"
"53","4.6  ",2010,"Hummer","H3T","22999","69499"
"54","4.7  ",2017,"Dodge","Challenger","52977","11507"
"55","4.6  ",2012,"Volvo","XC90","16799","63272"
"56","4.2  ",2015,"Nissan","Pathfinder","15997","41087"
"57","4.5  ",2011,"Toyota","Tundra","27991","54241"
"58","4.9  ",2018,"Lincoln","Navigator","100025",NA
"59","4.9  ",2004,"Lincoln","Town","7498","59109"
"60","4.6  ",2014,"Porsche","Cayman","36998","50480"
"61","4.8  ",2016,"Ford","F","32440","16083"
"62","4.8  ",2014,"Ford","Shelby","57995","5543"
"63","4.8  ",2017,"Lexus","RX","46998","3909"
"64","4.8  ",2010,"Volkswagen","Jetta","7398","68149"
"65","4.9  ",2015,"Toyota","Camry","18998","36849"
"66","4.9  ",2015,"Subaru","WRX","24880","38297"
"67","4.8  ",2018,"Chevrolet","Camaro","57980","129"
"68","5  ",2019,"Toyota","Corolla","22493",NA
"69","4.9  ",2017,"Mazda","Mazda6","19980","6104"
"70","4.9  ",2016,"Volvo","XC90","33880","39225"
"71","5  ",2019,"Toyota","Corolla","24632",NA
"72","4.9  ",2017,"Nissan","Armada","27990","51166"
"73","4.8  ",2011,"Toyota","Tacoma","18399","56584"
"74","4.8  ",2012,"Hyundai","Elantra","7962","90547"
"75","4.8  ",2016,"Toyota","Highlander","30520","35949"
"76","5  ",2014,"Volkswagen","Jetta","9877","72838"
"77","4.8  ",2015,"Kia","Sportage","15037","38434"
"78","4.9  ",2012,"Toyota","Tacoma","19900","97523"
"79","4.9  ",2016,"BMW","M6","69995","28563"
"80","4.4  ",2018,"Toyota","Camry","19977","30259"
"81","4.9  ",2018,"Honda","Accord","21168","3287"
"82","4.9  ",2016,"Honda","Civic","16288","37330"
"83","4.9  ",2018,"Kia","Optima","17500","632"
"84","4  ",2016,"Subaru","Crosstrek","18397","35840"
"85","4.6  ",2015,"Jeep","Grand","22996","36133"
"86","4.7  ",2014,"Mitsubishi","Outlander","10995","60935"
"87","4.9  ",2016,"Volvo","XC90","44500","37814"
"88","4.9  ",2017,"Volvo","XC90","75895",NA
"89","4.9  ",2014,"Jeep","Wrangler","23000","24223"
"90","3.7  ",2016,"Hyundai","Elantra","13899","28753"
"91","2.3  ",2014,"Land","Rover","45471","71804"
"92","4.6  ",2016,"GMC","Yukon","44988","63815"
"93","2.3  ",2014,"Audi","A6","17596","96201"
"94","5  ",2013,"Honda","Ridgeline","24000","47846"
"95","4.9  ",2019,"Acura","RDX","46895",NA
"96","4.9  ",2019,"Acura","RDX","46895",NA
"97","4.8  ",2016,"Chevrolet","Silverado","25990","36431"
"98","4.8  ",2014,"Ford","F","24708","44543"
"99","4.8  ",2011,"Kia","Sorento","8993","91881"
"100","4.6  ",2010,"Cadillac","CTS","10995","79722"
"101","4.9  ",2013,"MINI","Paceman","13750","48209"
